Groups:
camcap:camcap_1|data_in_R[7..0] =, camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0],  hex

Data:
time unit: ps, camcap:camcap_1|data_in_R[7..0], camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0], camcap:camcap_1|trig_0_R, 
0, XX, X, X, X, X, X, X, X, X, X, 
4000, 07, 0, 0, 0, 0, 0, 1, 1, 1, 0, 
4020, 08, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
4040, 09, 0, 0, 0, 0, 1, 0, 0, 1, 0, 
4060, 0A, 0, 0, 0, 0, 1, 0, 1, 0, 0, 
4080, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
4100, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 0, 
4120, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 0, 
4140, 0E, 0, 0, 0, 0, 1, 1, 1, 0, 0, 
4160, 0F, 0, 0, 0, 0, 1, 1, 1, 1, 0, 
4180, 10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
4200, 11, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
4220, 12, 0, 0, 0, 1, 0, 0, 1, 0, 0, 
4240, 13, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
4260, 14, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
4280, 15, 0, 0, 0, 1, 0, 1, 0, 1, 0, 
4300, 16, 0, 0, 0, 1, 0, 1, 1, 0, 0, 
4320, 17, 0, 0, 0, 1, 0, 1, 1, 1, 0, 
4340, 18, 0, 0, 0, 1, 1, 0, 0, 0, 0, 
4360, 19, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
4380, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 0, 
4400, 1B, 0, 0, 0, 1, 1, 0, 1, 1, 0, 
4420, 1C, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
4440, 1D, 0, 0, 0, 1, 1, 1, 0, 1, 0, 
4460, 1E, 0, 0, 0, 1, 1, 1, 1, 0, 0, 
4480, 1F, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
4500, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
4520, 21, 0, 0, 1, 0, 0, 0, 0, 1, 0, 
